date_str,year_month,year,cost_gas_eur_mwh,cost_coal_eur_mwh,cost_diesel_eur_mwh,cost_uranium_eur_mwh,eu_ets_price_eur_tco2
2022-12-18,2022-12,2022,94.37,26.594955852502665,,2.544974630763629,
2022-12-19,2022-12,2022,91.68,26.809904878610418,,2.544974630763629,
2022-12-20,2022-12,2022,87.06,26.46328676544444,,2.544974630763629,
2022-12-21,2022-12,2022,80.07,26.4728485828151,,2.544974630763629,
2022-12-22,2022-12,2022,72.68,26.51504866592312,,2.544974630763629,
2022-12-23,2022-12,2022,65.79,26.53192702064403,,2.544974630763629,
2022-12-24,2022-12,2022,58.89,26.53192702064403,,2.544974630763629,
2022-12-25,2022-12,2022,67.14,26.53192702064403,,2.544974630763629,
2022-12-26,2022-12,2022,69.77,26.53192702064403,,2.544974630763629,
2022-12-27,2022-12,2022,73.86,26.439935718538486,,2.544974630763629,
2022-12-28,2022-12,2022,60.85,26.314715710219648,,2.544974630763629,
2022-12-29,2022-12,2022,62.85,26.293859219071035,,2.544974630763629,
2022-12-30,2022-12,2022,59.49,26.26225519984225,,2.544974630763629,
2022-12-31,2022-12,2022,58.71,26.26225519984225,,2.544974630763629,
2023-01-01,2023-01,2023,64.85,26.26225519984225,,2.9728630853000566,
2023-01-02,2023-01,2023,65.72,26.26225519984225,,2.9728630853000566,
2023-01-03,2023-01,2023,71.49,21.24450392236586,,2.9728630853000566,
2023-01-04,2023-01,2023,58.87,20.79174074255535,,2.9728630853000566,
2023-01-05,2023-01,2023,60.12,20.530298416713833,,2.9728630853000566,
2023-01-06,2023-01,2023,62.19,20.064015839730274,,2.9728630853000566,
2023-01-07,2023-01,2023,61.93,20.064015839730274,,2.9728630853000566,
2023-01-08,2023-01,2023,64.93,20.064015839730274,,2.9728630853000566,
2023-01-09,2023-01,2023,64.08,19.730817958304797,,2.9728630853000566,
2023-01-10,2023-01,2023,67.22,19.572357789171484,,2.9728630853000566,
2023-01-11,2023-01,2023,62.36,18.892633096514974,,2.9728630853000566,
2023-01-12,2023-01,2023,63.35,19.940606982294575,,2.9728630853000566,
2023-01-13,2023-01,2023,62.32,19.117139365510727,,2.9728630853000566,
2023-01-14,2023-01,2023,62.14,19.117139365510727,,2.9728630853000566,
2023-01-15,2023-01,2023,57.53,19.117139365510727,,2.9728630853000566,
2023-01-16,2023-01,2023,54.3,19.117139365510727,,2.9728630853000566,
2023-01-17,2023-01,2023,51.75,19.283722421134748,,2.9728630853000566,
2023-01-18,2023-01,2023,59.22,19.821863793384704,,2.9728630853000566,
2023-01-19,2023-01,2023,59.05,19.955735515640374,,2.9728630853000566,
2023-01-20,2023-01,2023,59.9,19.855352595149164,,2.9728630853000566,
2023-01-21,2023-01,2023,66.18,19.855352595149164,,2.9728630853000566,
2023-01-22,2023-01,2023,67.38,19.855352595149164,,2.9728630853000566,
2023-01-23,2023-01,2023,63.7,19.493058847180638,,2.9728630853000566,
2023-01-24,2023-01,2023,57.33,19.16586474012254,,2.9728630853000566,
2023-01-25,2023-01,2023,52.96,18.74657711053259,,2.9728630853000566,
2023-01-26,2023-01,2023,52.68,18.688404237608726,,2.9728630853000566,
2023-01-27,2023-01,2023,50.87,18.893631471758933,,2.9728630853000566,
2023-01-28,2023-01,2023,55.63,18.893631471758933,,2.9728630853000566,
2023-01-29,2023-01,2023,57.95,18.893631471758933,,2.9728630853000566,
2023-01-30,2023-01,2023,57.91,15.66779031375762,,2.9728630853000566,
2023-01-31,2023-01,2023,57.81,15.46001055096746,,2.9728630853000566,
2023-02-01,2023-02,2023,55.93,15.988352601543307,,2.9728630853000566,
2023-02-02,2023-02,2023,58.1,15.243524788211282,,2.9728630853000566,
2023-02-03,2023-02,2023,57.29,15.546192027961249,,2.9728630853000566,
2023-02-04,2023-02,2023,58.65,15.546192027961249,,2.9728630853000566,
2023-02-05,2023-02,2023,59.01,15.546192027961249,,2.9728630853000566,
2023-02-06,2023-02,2023,58.23,15.881578676226638,,2.9728630853000566,
2023-02-07,2023-02,2023,55.96,15.529758244723487,,2.9728630853000566,
2023-02-08,2023-02,2023,53.55,14.75269242287298,,2.9728630853000566,
2023-02-09,2023-02,2023,54.3,14.67439875232087,,2.9728630853000566,
2023-02-10,2023-02,2023,52.97,14.981314497743224,,2.9728630853000566,
2023-02-11,2023-02,2023,54.72,14.981314497743224,,2.9728630853000566,
2023-02-12,2023-02,2023,55.74,14.981314497743224,,2.9728630853000566,
2023-02-13,2023-02,2023,53.68,14.956867593810108,,2.9728630853000566,
2023-02-14,2023-02,2023,51.61,15.341354534326948,,2.9728630853000566,
2023-02-15,2023-02,2023,53.73,15.608414945107159,,2.9728630853000566,
2023-02-16,2023-02,2023,52.06,15.724300266076643,,2.9728630853000566,
2023-02-17,2023-02,2023,48.67,15.624413018469292,,2.9728630853000566,
2023-02-18,2023-02,2023,47.2,15.624413018469292,,2.9728630853000566,
2023-02-19,2023-02,2023,49.06,15.624413018469292,,2.9728630853000566,
2023-02-20,2023-02,2023,50.1,15.624413018469292,,2.9728630853000566,
2023-02-21,2023-02,2023,48.16,15.714748662844743,,2.9728630853000566,
2023-02-22,2023-02,2023,48.84,15.800274330843171,,2.9728630853000566,
2023-02-23,2023-02,2023,49.91,16.10077605992089,,2.9728630853000566,
2023-02-24,2023-02,2023,52.6,16.031416738638,,2.9728630853000566,
2023-02-25,2023-02,2023,48.41,16.031416738638,,2.9728630853000566,
2023-02-26,2023-02,2023,48.67,16.031416738638,,2.9728630853000566,
2023-02-27,2023-02,2023,48.82,17.30183626658802,,2.9728630853000566,
2023-02-28,2023-02,2023,47.78,16.902998071732068,,2.9728630853000566,
2023-03-01,2023-03,2023,49.7,16.974586335054006,,2.9728630853000566,
2023-03-02,2023-03,2023,49.15,16.17821219629447,,2.9728630853000566,
2023-03-03,2023-03,2023,45.76,15.211778955495003,,2.9728630853000566,
2023-03-04,2023-03,2023,46.86,15.211778955495003,,2.9728630853000566,
2023-03-05,2023-03,2023,51.07,15.211778955495003,,2.9728630853000566,
2023-03-06,2023-03,2023,46.18,14.295247170449775,,2.9728630853000566,
2023-03-07,2023-03,2023,44.84,14.327093008603867,,2.9728630853000566,
2023-03-08,2023-03,2023,43.05,14.397477793469708,,2.9728630853000566,
2023-03-09,2023-03,2023,40.74,14.86495205785708,,2.9728630853000566,
2023-03-10,2023-03,2023,47.49,15.668623847683659,,2.9728630853000566,
2023-03-11,2023-03,2023,53.93,15.668623847683659,,2.9728630853000566,
2023-03-12,2023-03,2023,47.4,15.668623847683659,,2.9728630853000566,
2023-03-13,2023-03,2023,50.04,15.770733399786973,,2.9728630853000566,
2023-03-14,2023-03,2023,45.67,15.807272862193887,,2.9728630853000566,
2023-03-15,2023-03,2023,44.94,15.57433891062553,,2.9728630853000566,
2023-03-16,2023-03,2023,42.27,15.978222296542457,,2.9728630853000566,
2023-03-17,2023-03,2023,42.53,15.62517155926293,,2.9728630853000566,
2023-03-18,2023-03,2023,40.56,15.62517155926293,,2.9728630853000566,
2023-03-19,2023-03,2023,43.56,15.62517155926293,,2.9728630853000566,
2023-03-20,2023-03,2023,41.62,15.398176503941103,,2.9728630853000566,
2023-03-21,2023-03,2023,39.22,15.890413034233902,,2.9728630853000566,
2023-03-22,2023-03,2023,40.41,15.467098544808037,,2.9728630853000566,
2023-03-23,2023-03,2023,40.7,15.330282404110317,,2.9728630853000566,
2023-03-24,2023-03,2023,40.6,15.3632702463858,,2.9728630853000566,
2023-03-25,2023-03,2023,37.9,15.3632702463858,,2.9728630853000566,
2023-03-26,2023-03,2023,34.91,15.3632702463858,,2.9728630853000566,
2023-03-27,2023-03,2023,40.54,15.54122034432765,,2.9728630853000566,
2023-03-28,2023-03,2023,40.47,15.64745638697926,,2.9728630853000566,
2023-03-29,2023-03,2023,40.31,15.623283228672912,,2.9728630853000566,
2023-03-30,2023-03,2023,36.45,15.594696128979297,,2.9728630853000566,
2023-03-31,2023-03,2023,36.31,15.580668017977821,,2.9728630853000566,
2023-04-01,2023-04,2023,43.18,15.580668017977821,,2.9728630853000566,
2023-04-02,2023-04,2023,43.57,15.580668017977821,,2.9728630853000566,
2023-04-03,2023-04,2023,44.82,16.8696193793918,,2.9728630853000566,
2023-04-04,2023-04,2023,43.21,16.138321975764313,,2.9728630853000566,
2023-04-05,2023-04,2023,42.93,15.709195244594568,,2.9728630853000566,
2023-04-06,2023-04,2023,39.79,15.283954925076564,,2.9728630853000566,
2023-04-07,2023-04,2023,40.28,15.283954925076564,,2.9728630853000566,
2023-04-08,2023-04,2023,42.53,15.283954925076564,,2.9728630853000566,
2023-04-09,2023-04,2023,42.66,15.283954925076564,,2.9728630853000566,
2023-04-10,2023-04,2023,40.54,15.269622519978636,,2.9728630853000566,
2023-04-11,2023-04,2023,39.16,14.721450180627306,,2.9728630853000566,
2023-04-12,2023-04,2023,39.0,14.937799623879492,,2.9728630853000566,
2023-04-13,2023-04,2023,37.19,14.987863754506755,,2.9728630853000566,
2023-04-14,2023-04,2023,36.71,15.113709743279284,,2.9728630853000566,
2023-04-15,2023-04,2023,36.88,15.113709743279284,,2.9728630853000566,
2023-04-16,2023-04,2023,36.4,15.113709743279284,,2.9728630853000566,
2023-04-17,2023-04,2023,36.28,15.224044781135671,,2.9728630853000566,
2023-04-18,2023-04,2023,37.27,15.365569481944034,,2.9728630853000566,
2023-04-19,2023-04,2023,36.57,15.373920123204838,,2.9728630853000566,
2023-04-20,2023-04,2023,36.88,15.53548000614333,,2.9728630853000566,
2023-04-21,2023-04,2023,35.12,15.497738261843022,,2.9728630853000566,
2023-04-22,2023-04,2023,32.17,15.497738261843022,,2.9728630853000566,
2023-04-23,2023-04,2023,32.9,15.497738261843022,,2.9728630853000566,
2023-04-24,2023-04,2023,35.17,15.462058617617036,,2.9728630853000566,
2023-04-25,2023-04,2023,34.12,15.551351536367134,,2.9728630853000566,
2023-04-26,2023-04,2023,37.18,15.677431316784602,,2.9728630853000566,
2023-04-27,2023-04,2023,35.34,15.55742950737648,,2.9728630853000566,
2023-04-28,2023-04,2023,36.07,15.627909764388024,,2.9728630853000566,
2023-04-29,2023-04,2023,34.53,15.627909764388024,,2.9728630853000566,
2023-04-30,2023-04,2023,34.9,15.627909764388024,,2.9728630853000566,
2023-05-01,2023-05,2023,35.32,15.201583712669258,,2.9728630853000566,
2023-05-02,2023-05,2023,36.9,15.052139405520157,,2.9728630853000566,
2023-05-03,2023-05,2023,33.61,14.353641481481075,,2.9728630853000566,
2023-05-04,2023-05,2023,33.63,14.056439122155984,,2.9728630853000566,
2023-05-05,2023-05,2023,34.36,14.137385487646368,,2.9728630853000566,
2023-05-06,2023-05,2023,33.27,14.137385487646368,,2.9728630853000566,
2023-05-07,2023-05,2023,34.62,14.137385487646368,,2.9728630853000566,
2023-05-08,2023-05,2023,33.66,14.142839688109172,,2.9728630853000566,
2023-05-09,2023-05,2023,34.44,13.993071704137265,,2.9728630853000566,
2023-05-10,2023-05,2023,31.34,13.613075502240047,,2.9728630853000566,
2023-05-11,2023-05,2023,27.96,13.348579089320532,,2.9728630853000566,
2023-05-12,2023-05,2023,29.42,13.414037130557894,,2.9728630853000566,
2023-05-13,2023-05,2023,29.08,13.414037130557894,,2.9728630853000566,
2023-05-14,2023-05,2023,29.56,13.414037130557894,,2.9728630853000566,
2023-05-15,2023-05,2023,26.69,13.413937289304137,,2.9728630853000566,
2023-05-16,2023-05,2023,26.47,13.235504012591432,,2.9728630853000566,
2023-05-17,2023-05,2023,28.15,13.324433171181031,,2.9728630853000566,
2023-05-18,2023-05,2023,26.55,13.329684822879177,,2.9728630853000566,
2023-05-19,2023-05,2023,26.08,13.498764797849281,,2.9728630853000566,
2023-05-20,2023-05,2023,27.11,13.498764797849281,,2.9728630853000566,
2023-05-21,2023-05,2023,28.91,13.498764797849281,,2.9728630853000566,
2023-05-22,2023-05,2023,28.89,13.507815125059386,,2.9728630853000566,
2023-05-23,2023-05,2023,28.41,13.522434130569879,,2.9728630853000566,
2023-05-24,2023-05,2023,27.28,13.534408000115262,,2.9728630853000566,
2023-05-25,2023-05,2023,24.43,13.532874460567506,,2.9728630853000566,
2023-05-26,2023-05,2023,23.48,13.635075925621969,,2.9728630853000566,
